lotarea,bldgarea,comarea,resarea,officearea,retailarea,numbldgs,numfloors,lotdepth,bldgdepth,builtfar,residfar,commfar,facilfar,incident_zip,status,year,complaint_type
2500.0,2196.0,0.0,2196.0,0.0,0.0,1.0,2.0,100.0,50.0,0.88,1.1,0.0,2.0,10453.0,Open,110,DOOR/WINDOW
3388.0,3918.0,0.0,2778.0,0.0,0.0,2.0,2.5,95.0,52.0,1.16,1.25,0.0,2.0,10452.0,Open,95,PLUMBING
2200.0,1488.0,0.0,992.0,0.0,0.0,1.0,1.0,100.0,41.0,0.68,0.75,0.0,2.0,10453.0,Open,70,UNSANITARY CONDITION
2750.0,2094.0,0.0,2094.0,0.0,0.0,1.0,2.0,125.0,47.6,0.76,3.44,0.0,4.8,10468.0,Closed,23,UNSANITARY CONDITION
1884.0,1757.0,0.0,1216.0,0.0,0.0,1.0,2.0,95.0,32.83,0.93,0.75,0.0,2.0,10456.0,Closed,75,HEAT/HOT WATER
5000.0,22121.0,2509.0,19612.0,2509.0,0.0,1.0,6.0,100.0,92.0,4.42,3.44,0.0,4.8,10467.0,Closed,7,FLOORING/STAIRS
2400.0,2800.0,0.0,2800.0,0.0,0.0,1.0,3.0,100.0,50.0,1.17,0.75,0.0,2.0,10467.0,Closed,62,HEAT/HOT WATER
1367.0,3287.0,0.0,3287.0,0.0,0.0,1.0,3.0,79.23,61.0,2.4,3.44,0.0,4.8,10458.0,Closed,14,HEAT/HOT WATER
3681.0,2278.0,2278.0,0.0,0.0,0.0,1.0,1.0,85.0,67.0,0.62,6.02,0.0,6.5,10455.0,Open,96,FLOORING/STAIRS
2375.0,1096.0,0.0,1096.0,0.0,0.0,1.0,2.0,95.0,32.0,0.46,0.5,0.0,1.0,10473.0,Closed,95,UNSANITARY CONDITION
30309.0,4224.0,4224.0,0.0,0.0,4224.0,2.0,1.0,168.95,44.0,0.14,3.44,1.0,6.5,10458.0,Open,19,GENERAL
2500.0,1434.0,0.0,1434.0,0.0,0.0,2.0,2.5,100.0,36.0,0.57,0.5,0.0,1.0,10462.0,Closed,90,HEAT/HOT WATER
2250.0,3880.0,3880.0,0.0,0.0,2380.0,1.0,1.0,66.67,59.5,1.72,0.75,0.0,2.0,10454.0,Closed,12,PLUMBING
2430.0,7831.0,1100.0,6731.0,0.0,1100.0,1.0,4.0,99.71,80.0,3.22,3.44,0.0,4.8,10463.0,Closed,110,HEAT/HOT WATER
3364.0,2361.0,0.0,2361.0,0.0,0.0,1.0,2.5,101.17,33.0,0.7,0.75,0.0,2.0,10458.0,Closed,110,PAINT/PLASTER
1501.0,1636.0,0.0,1636.0,0.0,0.0,1.0,3.0,84.0,34.0,1.09,0.75,0.0,2.0,10456.0,Closed,65,PAINT/PLASTER
2903.0,3520.0,0.0,2816.0,0.0,0.0,1.0,2.0,100.1,64.0,1.21,3.44,0.0,4.8,10451.0,Open,110,WATER LEAK
3072.0,2623.0,2623.0,0.0,0.0,2623.0,1.0,1.0,59.08,59.08,0.85,3.44,0.0,4.8,10452.0,Open,95,PLUMBING
2006.0,3069.0,0.0,3069.0,0.0,0.0,1.0,3.0,107.1,50.0,1.53,2.43,0.0,4.8,10468.0,Closed,18,HEAT/HOT WATER
2500.0,4500.0,4500.0,0.0,2000.0,0.0,1.0,2.0,100.0,100.0,1.8,3.0,2.0,3.0,10460.0,Open,89,UNSANITARY CONDITION
1858.0,3246.0,0.0,3246.0,0.0,0.0,1.0,3.0,100.0,59.0,1.75,6.02,0.0,6.5,10467.0,Closed,121,HEAT/HOT WATER
1315.0,2624.0,0.0,2624.0,0.0,0.0,1.0,3.0,50.03,32.0,2.0,4.0,0.0,4.0,10459.0,Open,12,UNSANITARY CONDITION
2000.0,1801.0,0.0,1801.0,0.0,0.0,2.0,2.75,20.0,37.0,0.9,6.02,0.0,6.5,10452.0,Closed,119,HEAT/HOT WATER
3300.0,1745.0,0.0,980.0,0.0,0.0,1.0,1.0,100.0,50.0,0.53,0.75,0.0,2.0,10468.0,Closed,65,HEAT/HOT WATER
6162.0,12000.0,12000.0,0.0,12000.0,0.0,1.0,2.0,106.83,106.0,1.95,0.0,1.0,2.4,10468.0,Closed,97,HEAT/HOT WATER
1900.0,1732.0,0.0,1260.0,0.0,0.0,1.0,2.0,95.0,35.0,0.91,1.25,0.0,2.0,10457.0,Closed,85,HEAT/HOT WATER
2466.0,2198.0,0.0,2198.0,0.0,0.0,1.0,2.0,98.67,42.0,0.89,1.1,0.0,2.0,10452.0,Closed,95,HEAT/HOT WATER
2515.0,2288.0,0.0,2288.0,0.0,0.0,1.0,2.0,105.0,52.0,0.91,2.43,0.0,4.8,10462.0,Closed,35,HEAT/HOT WATER
2423.0,1372.0,0.0,1372.0,0.0,0.0,2.0,2.0,95.0,38.0,0.57,2.43,0.0,4.8,10468.0,Closed,85,HEAT/HOT WATER
5001.0,1890.0,0.0,1890.0,0.0,0.0,2.0,2.0,100.0,45.0,0.38,2.43,0.0,4.8,10460.0,Closed,95,HEAT/HOT WATER
2602.0,2450.0,0.0,1225.0,0.0,0.0,1.0,1.0,104.08,53.0,0.94,0.75,0.0,2.0,10472.0,Closed,96,HEAT/HOT WATER
2300.0,4424.0,4424.0,0.0,0.0,0.0,1.0,3.0,115.0,55.0,1.92,3.44,0.0,4.8,10457.0,Open,119,DOOR/WINDOW
3559.0,2030.0,0.0,2030.0,0.0,0.0,1.0,2.0,125.25,45.0,0.57,1.25,0.0,2.0,10454.0,Closed,119,UNSANITARY CONDITION
50000.0,59714.0,59714.0,0.0,0.0,0.0,1.0,5.0,246.75,118.5,1.19,0.75,0.0,2.0,10473.0,Closed,53,HEAT/HOT WATER
3040.0,1362.0,0.0,1362.0,0.0,0.0,1.0,2.0,95.0,35.0,0.45,0.75,0.0,2.0,10469.0,Closed,60,PAINT/PLASTER
2525.0,5936.0,5936.0,0.0,0.0,0.0,1.0,2.0,84.17,53.0,2.35,3.44,0.0,4.8,10472.0,Open,89,FLOORING/STAIRS
2500.0,2200.0,0.0,2200.0,0.0,0.0,1.0,2.0,100.0,55.0,0.88,2.43,0.0,4.8,10459.0,Closed,119,HEAT/HOT WATER
1800.0,1116.0,0.0,1116.0,0.0,0.0,1.0,2.0,100.0,34.0,0.62,0.5,0.0,1.0,10455.0,Closed,65,DOOR/WINDOW
2144.0,2304.0,0.0,2304.0,0.0,0.0,1.0,2.0,93.42,55.0,1.07,1.25,0.0,2.0,10468.0,Closed,100,HEAT/HOT WATER
1530.0,1152.0,0.0,1152.0,0.0,0.0,1.0,2.0,85.0,32.0,0.75,1.25,0.0,2.0,10473.0,Closed,70,HEAT/HOT WATER
2340.0,2064.0,0.0,2064.0,0.0,0.0,1.0,2.0,93.58,42.0,0.88,3.44,0.0,4.8,10473.0,Closed,119,PLUMBING
5000.0,1368.0,0.0,1368.0,0.0,0.0,2.0,2.0,100.0,41.0,0.27,0.75,0.0,2.0,10459.0,Open,85,HEAT/HOT WATER
2460.0,3693.0,0.0,3693.0,0.0,0.0,1.0,3.0,108.42,54.0,1.5,0.75,0.0,2.0,10468.0,Closed,32,UNSANITARY CONDITION
2448.0,1980.0,0.0,1980.0,0.0,0.0,1.0,2.0,50.58,33.0,0.81,0.5,0.0,1.0,10468.0,Closed,90,ELECTRIC
8983.0,1188.0,0.0,1188.0,0.0,0.0,2.0,2.0,108.67,28.0,0.13,0.5,0.0,1.0,10459.0,Closed,95,DOOR/WINDOW
1394.0,3402.0,0.0,3402.0,0.0,0.0,1.0,3.0,75.0,63.0,2.44,2.43,0.0,4.8,10462.0,Closed,84,HEAT/HOT WATER
4650.0,3060.0,0.0,3060.0,0.0,0.0,1.0,3.0,93.0,55.0,0.66,1.25,0.0,2.0,10457.0,Closed,17,HEAT/HOT WATER
2125.0,4000.0,4000.0,0.0,0.0,4000.0,1.0,2.0,85.0,80.0,1.88,1.35,0.0,2.0,10452.0,Closed,24,HEAT/HOT WATER
2310.0,1328.0,0.0,1328.0,0.0,0.0,1.0,2.0,92.42,30.0,0.57,0.75,0.0,2.0,10460.0,Open,90,PAINT/PLASTER
7930.0,2400.0,0.0,1200.0,0.0,0.0,1.0,1.0,130.0,24.0,0.3,0.5,0.0,1.0,10458.0,Closed,35,HEAT/HOT WATER
7400.0,32930.0,2000.0,30930.0,0.0,2000.0,1.0,5.0,74.0,74.0,4.45,3.44,0.0,4.8,10456.0,Closed,94,HEAT/HOT WATER
12675.0,17578.0,17578.0,0.0,0.0,17578.0,1.0,2.0,57.42,57.42,1.39,3.44,3.4,6.5,10462.0,Closed,90,HEAT/HOT WATER
1937.0,1690.0,0.0,1690.0,0.0,0.0,1.0,3.0,102.49,35.0,0.87,2.0,0.0,2.0,10467.0,Closed,70,UNSANITARY CONDITION
2856.0,1320.0,0.0,1320.0,0.0,0.0,2.0,2.0,114.25,30.0,0.46,1.25,0.0,2.0,10456.0,Open,105,APPLIANCE
10016.0,39000.0,0.0,39000.0,0.0,0.0,1.0,5.0,100.0,88.0,3.89,3.44,0.0,4.8,10462.0,Closed,96,UNSANITARY CONDITION
4750.0,2000.0,0.0,1320.0,0.0,0.0,2.0,2.0,95.0,32.5,0.42,0.75,0.0,2.0,10467.0,Closed,105,HEAT/HOT WATER
2500.0,2440.0,0.0,2440.0,0.0,0.0,2.0,2.0,100.0,61.0,0.98,0.75,0.0,2.0,10455.0,Closed,100,HEAT/HOT WATER
1860.0,1860.0,1860.0,0.0,0.0,1860.0,1.0,1.0,60.0,60.0,1.0,3.44,0.0,4.8,10452.0,Closed,88,PLUMBING
7500.0,2128.0,0.0,2128.0,0.0,0.0,1.0,2.0,100.0,52.0,0.28,2.43,0.0,4.8,10458.0,Closed,110,HEAT/HOT WATER
2625.0,2914.0,0.0,1876.0,0.0,0.0,1.0,2.0,125.0,51.5,1.11,0.75,0.0,2.0,10472.0,Closed,60,HEAT/HOT WATER
5282.0,3020.0,0.0,3020.0,0.0,0.0,1.0,3.0,138.42,38.0,0.57,0.5,0.0,1.0,10458.0,Open,85,UNSANITARY CONDITION
1887.0,1816.0,0.0,1816.0,0.0,0.0,2.0,2.0,98.99,45.0,0.96,2.43,0.0,4.8,10468.0,Closed,110,HEAT/HOT WATER
1842.0,6785.0,0.0,6785.0,0.0,0.0,1.0,4.0,23.0,59.0,3.68,2.43,0.0,4.8,10456.0,Closed,12,UNSANITARY CONDITION
1738.0,2125.0,0.0,1480.0,0.0,0.0,1.0,2.0,75.0,43.0,1.22,0.75,0.0,2.0,10467.0,Closed,55,HEAT/HOT WATER
2540.0,1703.0,0.0,1703.0,0.0,0.0,2.0,2.0,121.67,36.0,0.67,0.75,0.0,2.0,10457.0,Closed,119,HEAT/HOT WATER
5000.0,25200.0,0.0,25200.0,0.0,0.0,1.0,6.0,100.0,84.0,5.04,3.44,0.0,4.8,10458.0,Closed,83,HEAT/HOT WATER
2565.0,1260.0,0.0,1260.0,0.0,0.0,1.0,2.0,95.0,35.33,0.49,0.75,0.0,2.0,10453.0,Closed,70,HEAT/HOT WATER
5250.0,19400.0,0.0,19400.0,0.0,0.0,1.0,5.0,104.42,92.0,3.7,3.44,0.0,4.8,10469.0,Closed,89,HEAT/HOT WATER
2758.0,2900.0,0.0,2900.0,0.0,0.0,1.0,3.0,100.0,50.0,1.05,0.5,0.0,1.0,10461.0,Closed,55,PLUMBING
2968.0,2684.0,2684.0,0.0,0.0,2684.0,1.0,1.0,61.22,61.17,0.9,2.43,0.0,4.8,10458.0,Closed,95,HEAT/HOT WATER
3800.0,1655.0,0.0,1655.0,0.0,0.0,1.0,2.0,95.0,30.0,0.44,1.1,0.0,2.0,10468.0,Closed,90,HEAT/HOT WATER
5100.0,3654.0,0.0,3654.0,0.0,0.0,1.0,3.0,100.0,58.0,0.72,2.43,0.0,4.8,10455.0,Closed,110,HEAT/HOT WATER
2500.0,2070.0,0.0,1440.0,0.0,0.0,1.0,2.0,100.0,36.0,0.83,0.75,0.0,2.0,10460.0,Closed,70,PAINT/PLASTER
2044.0,2100.0,1050.0,1050.0,0.0,1050.0,1.0,2.0,81.75,50.0,1.03,4.0,0.0,4.0,10468.0,Open,105,ELECTRIC
16509.0,450.0,450.0,0.0,0.0,0.0,1.0,1.0,102.89,20.0,0.03,2.43,0.0,4.8,10458.0,Closed,48,HEAT/HOT WATER
3742.0,2337.0,0.0,1628.0,0.0,0.0,1.0,2.0,100.0,37.42,0.62,0.75,0.0,2.0,10457.0,Closed,55,UNSANITARY CONDITION
20000.0,49135.0,0.0,49135.0,0.0,0.0,1.0,5.0,200.0,127.0,2.46,3.44,0.0,4.8,10468.0,Closed,94,HEAT/HOT WATER
1570.0,2889.0,953.0,1936.0,0.0,953.0,1.0,3.0,78.5,40.0,1.84,6.02,0.0,6.5,10467.0,Closed,89,HEAT/HOT WATER
1438.0,1512.0,0.0,1512.0,0.0,0.0,1.0,2.0,87.17,44.0,1.05,3.44,0.0,4.8,10460.0,Closed,119,UNSANITARY CONDITION
2400.0,2656.0,0.0,1744.0,0.0,0.0,2.0,2.0,100.0,32.0,1.11,3.44,0.0,4.8,10460.0,Closed,100,PLUMBING
2375.0,4012.0,2006.0,2006.0,0.0,2006.0,1.0,2.0,95.0,50.0,1.69,4.0,0.0,4.0,10455.0,Closed,93,HEAT/HOT WATER
4370.0,3432.0,0.0,3432.0,0.0,0.0,1.0,3.0,147.13,52.0,0.79,0.75,0.0,2.0,10472.0,Closed,31,HEAT/HOT WATER
10015.0,2255.0,2255.0,0.0,0.0,0.0,1.0,1.0,100.15,55.0,0.23,0.75,0.0,2.0,10453.0,Closed,88,UNSANITARY CONDITION
2810.0,1704.0,0.0,1143.0,0.0,0.0,1.0,1.75,112.42,37.0,0.61,0.75,0.0,2.0,10457.0,Closed,80,HEAT/HOT WATER
2500.0,1588.0,0.0,1588.0,0.0,0.0,1.0,2.5,100.0,28.0,0.64,1.1,0.0,2.0,10454.0,Closed,100,PLUMBING
1425.0,1653.0,0.0,1653.0,0.0,0.0,1.0,2.0,57.0,34.0,1.16,0.75,0.0,2.0,10458.0,Closed,90,WATER LEAK
2500.0,2480.0,0.0,2480.0,0.0,0.0,2.0,2.0,100.0,62.0,0.99,2.43,0.0,4.8,10459.0,Closed,95,HEAT/HOT WATER
2325.0,1295.0,0.0,1295.0,0.0,0.0,2.0,2.0,75.67,38.0,0.56,0.75,0.0,2.0,10458.0,Open,100,UNSANITARY CONDITION
2375.0,1194.0,0.0,1194.0,0.0,0.0,2.0,2.0,95.0,33.0,0.5,0.75,0.0,2.0,10467.0,Closed,90,HEAT/HOT WATER
2970.0,3800.0,0.0,2400.0,0.0,0.0,2.0,2.0,90.0,43.17,1.28,3.0,0.0,3.0,10467.0,Closed,100,ELECTRIC
1500.0,1870.0,0.0,1360.0,0.0,0.0,1.0,2.0,75.0,34.0,1.25,0.75,0.0,2.0,10456.0,Closed,65,HEAT/HOT WATER
2000.0,3078.0,0.0,3078.0,0.0,0.0,1.0,3.0,100.0,54.0,1.54,2.43,0.0,4.8,10470.0,Closed,105,HEAT/HOT WATER
1651.0,1081.0,0.0,1081.0,0.0,0.0,1.0,2.0,100.08,30.0,0.65,6.02,0.0,6.5,10458.0,Closed,110,HEAT/HOT WATER
3823.0,1494.0,0.0,1494.0,0.0,0.0,1.0,2.0,122.67,38.0,0.39,0.5,0.0,1.0,10456.0,Closed,95,GENERAL
4223.0,2134.0,0.0,2134.0,0.0,0.0,2.0,2.0,100.0,42.9,0.51,1.25,0.0,2.0,10472.0,Closed,100,UNSANITARY CONDITION
2500.0,3086.0,0.0,3086.0,0.0,0.0,1.0,2.0,100.0,68.0,1.23,3.44,0.0,4.8,10462.0,Closed,121,HEAT/HOT WATER
2114.0,3232.0,0.0,3232.0,0.0,0.0,1.0,3.0,95.0,52.0,1.53,1.1,0.0,2.0,10454.0,Closed,50,HEAT/HOT WATER
2500.0,1096.0,0.0,1096.0,0.0,0.0,1.0,2.0,100.0,28.0,0.44,0.75,0.0,2.0,10456.0,Closed,121,HEAT/HOT WATER
3505.0,2800.0,2800.0,0.0,0.0,0.0,1.0,1.0,87.67,40.0,0.8,0.0,1.0,2.4,10452.0,Closed,48,HEAT/HOT WATER
6675.0,32400.0,3125.0,29275.0,0.0,3125.0,1.0,6.0,88.58,72.0,4.85,3.0,0.0,3.0,10453.0,Open,100,WATER LEAK
3418.0,349.0,349.0,0.0,0.0,349.0,1.0,1.0,101.48,18.0,0.1,5.0,4.0,5.0,10454.0,Closed,16,HEAT/HOT WATER
2500.0,2560.0,0.0,2560.0,0.0,0.0,1.0,2.0,100.0,64.0,1.02,0.75,0.0,2.0,10468.0,Closed,90,HEAT/HOT WATER
4200.0,2950.0,0.0,2150.0,0.0,0.0,1.0,2.0,60.0,36.0,0.7,0.5,0.0,1.0,10456.0,Open,82,PLUMBING
5000.0,1306.0,0.0,1306.0,0.0,0.0,1.0,1.67,100.0,23.0,0.26,0.75,0.0,2.0,10456.0,Closed,78,HEAT/HOT WATER
2500.0,3293.0,0.0,3293.0,0.0,0.0,1.0,2.0,100.0,80.0,1.32,2.43,0.0,4.8,10457.0,Closed,93,HEAT/HOT WATER
2900.0,2950.0,0.0,2950.0,0.0,0.0,1.0,3.0,100.0,50.0,1.02,1.25,0.0,2.0,10456.0,Closed,45,SAFETY
5387.0,5340.0,5340.0,0.0,0.0,5340.0,1.0,1.0,60.0,60.0,0.99,2.43,0.0,4.8,10459.0,Closed,100,HEAT/HOT WATER
2220.0,2772.0,0.0,2772.0,0.0,0.0,1.0,3.0,99.42,41.0,1.25,1.25,0.0,2.0,10467.0,Closed,22,HEAT/HOT WATER
2500.0,3465.0,0.0,3465.0,0.0,0.0,1.0,3.0,100.0,55.0,1.39,2.43,0.0,4.8,10460.0,Closed,80,APPLIANCE
3325.0,1892.0,0.0,1892.0,0.0,0.0,1.0,2.0,100.0,47.75,0.57,2.0,0.0,2.0,10463.0,Closed,80,APPLIANCE
2500.0,1598.0,0.0,1598.0,0.0,0.0,2.0,2.0,100.0,39.0,0.64,0.75,0.0,2.0,10472.0,Closed,100,PLUMBING
2655.0,3402.0,0.0,3402.0,0.0,0.0,1.0,3.0,114.55,50.0,1.28,2.43,0.0,4.8,10451.0,Closed,14,HEAT/HOT WATER
2300.0,1224.0,0.0,1224.0,0.0,0.0,1.0,2.0,100.0,33.0,0.53,0.75,0.0,2.0,10458.0,Closed,80,HEAT/HOT WATER
3145.0,1476.0,0.0,1476.0,0.0,0.0,2.0,2.0,93.42,38.0,0.47,0.5,0.0,1.0,10458.0,Closed,95,HEAT/HOT WATER
2500.0,1625.0,1625.0,0.0,0.0,1625.0,1.0,1.0,100.0,65.0,0.65,3.44,0.0,4.8,10454.0,Closed,89,UNSANITARY CONDITION
2500.0,2448.0,0.0,2448.0,0.0,0.0,1.0,2.0,100.0,60.0,0.98,1.25,0.0,2.0,10467.0,Closed,90,HEAT/HOT WATER
2500.0,2500.0,2500.0,0.0,0.0,2500.0,1.0,1.0,100.0,97.0,1.0,4.0,4.0,4.0,10468.0,Closed,89,HEAT/HOT WATER
22800.0,62035.0,0.0,62035.0,0.0,0.0,2.0,7.0,114.0,90.0,2.72,1.1,0.0,2.0,10462.0,Closed,22,HEAT/HOT WATER
3192.0,2400.0,0.0,1600.0,0.0,0.0,1.0,2.0,127.67,40.0,0.75,0.75,0.0,2.0,10463.0,Closed,95,HEAT/HOT WATER
1883.0,2916.0,0.0,2916.0,0.0,0.0,1.0,3.0,100.0,51.67,1.55,3.44,0.0,4.8,10466.0,Closed,23,HEAT/HOT WATER
13700.0,9887.0,9887.0,0.0,0.0,0.0,4.0,1.0,163.0,71.0,0.72,0.0,5.0,6.5,10453.0,Closed,89,HEAT/HOT WATER
3400.0,500.0,500.0,0.0,0.0,0.0,1.0,1.0,28.67,25.0,0.15,0.0,1.0,2.4,10454.0,Closed,70,HEAT/HOT WATER
1663.0,2445.0,0.0,1630.0,0.0,0.0,1.0,2.0,100.0,53.0,1.47,3.0,2.0,3.0,10452.0,Closed,100,UNSANITARY CONDITION
2871.0,3062.0,0.0,3062.0,0.0,0.0,1.0,2.75,98.58,50.0,1.07,0.75,0.0,2.0,10462.0,Closed,110,HEAT/HOT WATER
1783.0,1760.0,1760.0,0.0,0.0,1760.0,2.0,1.0,88.17,88.0,0.99,0.5,0.0,1.0,10458.0,Closed,95,UNSANITARY CONDITION
5000.0,2149.0,0.0,2149.0,0.0,0.0,2.0,2.0,100.0,52.0,0.43,1.25,0.0,2.0,10462.0,Closed,100,HEAT/HOT WATER
11356.0,38216.0,0.0,38216.0,0.0,0.0,1.0,6.0,107.17,50.0,3.37,3.44,0.0,4.8,10467.0,Closed,13,PLUMBING
2500.0,2440.0,0.0,2440.0,0.0,0.0,1.0,2.0,100.0,64.0,0.98,2.43,3.4,4.8,10459.0,Closed,100,GENERAL
1600.0,1440.0,0.0,960.0,0.0,0.0,1.0,2.0,100.0,30.0,0.9,1.25,0.0,2.0,10457.0,Closed,60,PAINT/PLASTER
4280.0,2615.0,0.0,2615.0,0.0,0.0,1.0,2.5,111.67,42.0,0.61,0.75,0.0,2.0,10457.0,Closed,121,ELECTRIC
3267.0,2384.0,0.0,1672.0,0.0,0.0,1.0,2.0,125.67,44.0,0.73,0.75,0.0,2.0,10454.0,Closed,60,HEAT/HOT WATER
8307.0,8640.0,8640.0,0.0,0.0,0.0,1.0,1.0,96.89,96.0,1.04,0.0,2.0,6.5,10472.0,Closed,90,WATER LEAK
3173.0,1900.0,0.0,1900.0,0.0,0.0,1.0,3.0,109.42,50.0,0.6,0.75,0.0,2.0,10453.0,Closed,65,PLUMBING
12009.0,42490.0,0.0,42490.0,0.0,0.0,1.0,5.0,105.0,90.0,3.54,1.1,0.0,2.0,10458.0,Closed,92,UNSANITARY CONDITION
14444.0,58057.0,0.0,58057.0,0.0,0.0,1.0,5.0,95.06,72.58,4.02,3.44,0.0,4.8,10467.0,Closed,91,HEAT/HOT WATER
1992.0,1976.0,1976.0,0.0,0.0,1976.0,1.0,1.0,93.26,76.0,0.99,3.44,0.0,4.8,10467.0,Open,100,PLUMBING
2500.0,3250.0,0.0,3250.0,0.0,0.0,1.0,3.0,100.0,51.0,1.3,2.43,0.0,4.8,10458.0,Open,55,FLOORING/STAIRS
22500.0,1875.0,1875.0,0.0,0.0,0.0,3.0,1.0,200.0,75.0,0.08,0.0,2.0,0.0,10457.0,Closed,89,HEAT/HOT WATER
2220.0,3477.0,0.0,3477.0,0.0,0.0,1.0,3.0,100.0,51.7,1.57,3.44,0.0,4.8,10460.0,Open,15,HEAT/HOT WATER
2550.0,2811.0,0.0,1974.0,0.0,0.0,1.0,2.0,100.0,47.0,1.1,0.75,0.0,2.0,10467.0,Closed,80,HEAT/HOT WATER
73172.0,97000.0,97000.0,0.0,0.0,0.0,2.0,2.0,358.67,385.25,1.33,3.44,0.0,4.8,10456.0,Open,51,UNSANITARY CONDITION
2381.0,1624.0,0.0,1624.0,0.0,0.0,1.0,2.0,95.25,48.0,0.68,0.75,0.0,2.0,10456.0,Closed,50,HEAT/HOT WATER
2500.0,3507.0,0.0,3507.0,0.0,0.0,2.0,2.75,100.25,48.0,1.4,0.75,0.0,2.0,10459.0,Closed,100,PLUMBING
2500.0,3050.0,0.0,2440.0,0.0,0.0,1.0,2.0,100.0,67.0,1.22,0.75,0.0,2.0,10453.0,Closed,95,DOOR/WINDOW
2544.0,1760.0,0.0,1760.0,0.0,0.0,2.0,2.0,101.75,40.0,0.69,0.75,0.0,2.0,10459.0,Closed,100,HEAT/HOT WATER
3700.0,2160.0,0.0,2160.0,0.0,0.0,1.0,2.75,100.0,40.0,0.58,3.0,0.0,3.0,10470.0,Closed,95,PAINT/PLASTER
2164.0,3132.0,0.0,3132.0,0.0,0.0,1.0,3.0,98.37,47.5,1.45,3.44,0.0,6.5,10470.0,Open,18,UNSANITARY CONDITION
4330.0,1265.0,0.0,1265.0,0.0,0.0,2.0,2.0,108.25,30.0,0.29,0.5,0.0,1.0,10467.0,Closed,119,DOOR/WINDOW
1600.0,1440.0,0.0,960.0,0.0,0.0,1.0,2.0,100.0,30.0,0.9,0.75,0.0,2.0,10456.0,Closed,70,HEAT/HOT WATER
12500.0,47058.0,8000.0,39058.0,0.0,8000.0,1.0,6.0,100.0,90.0,3.76,7.52,0.0,7.5,10457.0,Closed,95,UNSANITARY CONDITION
1706.0,3917.0,2300.0,1617.0,0.0,2300.0,1.0,2.0,81.25,77.0,2.3,3.44,0.0,4.8,10458.0,Closed,110,HEAT/HOT WATER
98600.0,684900.0,105829.0,579071.0,0.0,49218.0,5.0,8.0,202.0,0.0,6.95,5.0,0.0,5.0,10468.0,Closed,11,HEAT/HOT WATER
3268.0,3660.0,0.0,3660.0,0.0,0.0,1.0,3.0,87.33,54.0,1.12,0.75,0.0,2.0,10458.0,Closed,18,APPLIANCE
